Current working directory: /data/yoojinoh/CV/data
Data size: 200
Best F1         : 0.582563  
Best F1 (Single): 0.550882  
AVG F1          : 0.566723  
[Overall Results]
Recall     Precision  F1-Score   Area PR   
0.677359   0.511042   0.582563   0.511931  
[Overall Results using Single Threshold]
Threshold  Recall     Precision  F1-Score  
0.142857   0.648370   0.478879   0.550882  
[Results Per Image]
ID         Threshold  Recall     Precision  F1-Score  
15004      0.190476   0.618254   0.508506   0.558035  
28096      0.142857   0.716609   0.221097   0.337932  
242078     0.190476   0.770934   0.458255   0.574825  
28075      0.190476   0.622015   0.748718   0.679510  
130034     0.142857   0.420438   0.347232   0.380344  
89072      0.142857   0.614486   0.326985   0.426837  
109034     0.142857   0.631664   0.288592   0.396179  
254033     0.476190   0.419267   0.314611   0.359476  
304074     0.285714   0.661295   0.561217   0.607160  
69040      0.047619   0.876433   0.248107   0.386734  
71046      0.095238   0.781208   0.592446   0.673858  
187029     0.333333   0.568699   0.600267   0.584057  
229036     0.380952   0.614190   0.560273   0.585994  
43070      0.142857   0.595861   0.324274   0.419986  
189003     0.238095   0.688718   0.413664   0.516877  
178054     0.428571   0.441233   0.710784   0.544474  
159029     0.142857   0.613444   0.319221   0.419924  
12084      0.095238   0.757070   0.280207   0.409026  
189080     0.238095   0.742284   0.771028   0.756383  
296007     0.095238   0.677737   0.578372   0.624124  
241004     0.142857   0.713703   0.709545   0.711618  
140055     0.047619   0.841606   0.290670   0.432102  
108073     0.095238   0.552822   0.310519   0.397668  
105025     0.190476   0.560135   0.482907   0.518662  
351093     0.285714   0.565243   0.761175   0.648738  
271008     0.380952   0.713369   0.675640   0.693992  
310007     0.285714   0.559251   0.704430   0.623501  
385028     0.142857   0.713827   0.748317   0.730665  
65019      0.285714   0.699910   0.677030   0.688280  
167062     0.380952   0.901660   0.949337   0.924884  
374020     0.047619   0.837032   0.490525   0.618558  
42078      0.190476   0.714981   0.658116   0.685371  
103041     0.142857   0.632596   0.351666   0.452039  
104022     0.095238   0.581165   0.520288   0.549044  
48055      0.190476   0.531398   0.425306   0.472470  
249087     0.285714   0.505695   0.597328   0.547705  
198023     0.380952   0.349546   0.226870   0.275154  
55067      0.047619   0.897890   0.763665   0.825356  
249061     0.095238   0.632146   0.424915   0.508218  
227040     0.142857   0.572465   0.543433   0.557571  
138078     0.428571   0.719200   0.684323   0.701328  
311081     0.428571   0.465732   0.573893   0.514186  
161062     0.047619   0.871338   0.538173   0.665381  
106025     0.047619   0.707966   0.532461   0.607797  
182053     0.142857   0.707639   0.615427   0.658320  
108070     0.095238   0.470151   0.158533   0.237113  
385039     0.142857   0.706215   0.487074   0.576522  
353013     0.428571   0.722263   0.631425   0.673797  
145053     0.142857   0.842926   0.665652   0.743873  
