Current working directory: /data/yoojinoh/CV/data
Data size: 200
Best F1         : 0.476200  
Best F1 (Single): 0.430413  
[Overall Results]
Recall     Precision  F1-Score   Area PR   
0.679269   0.366604   0.476200   0.292060  
[Overall Results using Single Threshold]
Threshold  Recall     Precision  F1-Score  
0.523810   0.627979   0.327409   0.430413  
[Results Per Image]
ID         Threshold  Recall     Precision  F1-Score  
28096      0.428571   0.409988   0.167854   0.238190  
242078     0.523810   0.776898   0.383287   0.513324  
28075      0.619048   0.431205   0.520068   0.471486  
130034     0.619048   0.540257   0.182380   0.272701  
89072      0.571429   0.625563   0.304383   0.409509  
109034     0.476190   0.772552   0.130367   0.223088  
254033     0.666667   0.552089   0.202475   0.296288  
304074     0.619048   0.656915   0.352007   0.458387  
69040      0.047619   0.987822   0.184231   0.310544  
71046      0.571429   0.664795   0.533084   0.591699  
187029     0.476190   0.573517   0.495801   0.531835  
229036     0.904762   0.473173   0.471290   0.472230  
43070      0.619048   0.512636   0.459640   0.484694  
189003     0.571429   0.641874   0.252604   0.362535  
178054     0.142857   0.938327   0.100508   0.181568  
159029     0.666667   0.387387   0.271996   0.319595  
12084      0.476190   0.746390   0.294740   0.422601  
189080     0.476190   0.693112   0.655830   0.673956  
296007     0.333333   0.531100   0.408036   0.461505  
241004     0.333333   0.720628   0.454371   0.557332  
140055     0.380952   0.567128   0.187690   0.282039  
108073     0.666667   0.496063   0.367680   0.422330  
105025     0.619048   0.485751   0.278075   0.353680  
351093     0.714286   0.704857   0.401355   0.511471  
271008     0.523810   0.693642   0.609114   0.648636  
310007     0.571429   0.720287   0.420716   0.531176  
385028     0.571429   0.626866   0.497556   0.554775  
65019      0.142857   0.980821   0.460635   0.626867  
167062     0.666667   0.848548   0.643220   0.731753  
374020     0.333333   0.679220   0.346969   0.459308  
42078      0.238095   0.857588   0.452825   0.592695  
103041     0.428571   0.547637   0.287252   0.376840  
104022     0.476190   0.664562   0.580842   0.619888  
48055      0.666667   0.607285   0.282745   0.385845  
249087     0.571429   0.634372   0.419514   0.505042  
198023     0.190476   0.918935   0.147665   0.254443  
55067      0.095238   0.869512   0.556342   0.678536  
249061     0.476190   0.709105   0.274072   0.395343  
227040     0.380952   0.660441   0.478111   0.554677  
138078     0.523810   0.786854   0.216808   0.339947  
311081     0.761905   0.356179   0.286116   0.317326  
161062     0.428571   0.681314   0.437391   0.532760  
106025     0.476190   0.416285   0.755605   0.536820  
182053     0.047619   0.951420   0.382286   0.545419  
108070     0.571429   0.500328   0.118337   0.191403  
385039     0.714286   0.425903   0.352602   0.385802  
353013     0.571429   0.589600   0.383964   0.465065  
145053     0.523810   0.763021   0.330531   0.461253  
246016     0.333333   0.629319   0.466128   0.535568  
181018     0.428571   0.617719   0.552882   0.583505  
12074      0.523810   0.789323   0.448267   0.571800  
368016     0.523810   0.784032   0.532561   0.634281  
370036     0.285714   0.819539   0.591070   0.686802  
113009     0.333333   0.822247   0.665134   0.735393  
225017     0.809524   0.670553   0.375743   0.481615  
365073     0.761905   0.689033   0.479170   0.565251  
59078      0.476190   0.702634   0.340320   0.458544  
189011     0.523810   0.500223   0.582374   0.538181  
106020     0.380952   0.737821   0.180947   0.290620  
301007     0.523810   0.606842   0.427561   0.501666  
210088     0.333333   0.687006   0.423350   0.523875  
69020      0.476190   0.598244   0.378216   0.463440  
24004      0.666667   0.573567   0.431321   0.492376  
15088      0.619048   0.744929   0.422142   0.538898  
45077      0.523810   0.506362   0.189756   0.276061  
271031     0.476190   0.671044   0.751096   0.708817  
41025      0.619048   0.721249   0.333467   0.456071  
207056     0.476190   0.688665   0.552180   0.612916  
156079     0.523810   0.470930   0.470588   0.470759  
314016     0.523810   0.786653   0.552686   0.649234  
27059      0.476190   0.674144   0.561046   0.612417  
21077      0.523810   0.723206   0.452709   0.556846  
22090      0.380952   0.672319   0.630902   0.650953  
187083     0.380952   0.597999   0.384964   0.468396  
376020     0.523810   0.581008   0.379626   0.459209  
[Results Per Threshold]
Threshold  Recall     Precision  F1-Score  
0.047619   0.971007   0.142250   0.248147  
0.095238   0.965511   0.147187   0.255434  
0.142857   0.946411   0.162126   0.276829  
0.190476   0.923065   0.180626   0.302131  
0.238095   0.894118   0.200879   0.328054  
0.285714   0.860346   0.221700   0.352552  
0.333333   0.822585   0.242987   0.375155  
0.380952   0.777189   0.265615   0.395919  
0.428571   0.732880   0.285974   0.411412  
0.476190   0.688275   0.305791   0.423449  
0.523810   0.627979   0.327409   0.430413  
0.571429   0.539520   0.348591   0.423533  
0.619048   0.458015   0.367365   0.407712  
0.666667   0.378782   0.386624   0.382663  
0.714286   0.315419   0.403108   0.353912  
0.761905   0.260213   0.418252   0.320826  
0.809524   0.213087   0.433659   0.285760  
0.857143   0.172074   0.450712   0.249060  
0.904762   0.136737   0.468553   0.211695  
0.952381   0.107417   0.486352   0.175970  
