Current working directory: /data/yoojinoh/CV/data
Data size: 200
Best F1         : 0.557630  
Best F1 (Single): 0.537532  
AVG F1          : 0.547581  
[Overall Results]
Recall     Precision  F1-Score   Area PR   
0.643012   0.492265   0.557630   0.347081  
[Overall Results using Single Threshold]
Threshold  Recall     Precision  F1-Score  
0.047619   0.678416   0.445100   0.537532  
[Results Per Image]
ID         Threshold  Recall     Precision  F1-Score  
15004      0.047619   0.570197   0.495609   0.530293  
28096      0.333333   0.646922   0.165496   0.263567  
242078     0.238095   0.596008   0.421796   0.493992  
28075      0.190476   0.600208   0.452593   0.516051  
130034     0.047619   0.500476   0.289162   0.366545  
89072      0.333333   0.591722   0.312388   0.408903  
109034     0.190476   0.662680   0.325627   0.436679  
254033     0.238095   0.756979   0.338986   0.468273  
304074     0.380952   0.697591   0.417114   0.522066  
69040      0.047619   0.358644   0.309915   0.332503  
71046      0.047619   0.701581   0.587526   0.639508  
187029     0.428571   0.651936   0.484903   0.556148  
229036     0.428571   0.541652   0.381515   0.447695  
43070      0.380952   0.393028   0.338147   0.363528  
189003     0.047619   0.767567   0.410997   0.535343  
178054     0.285714   0.353891   0.601335   0.445564  
159029     0.095238   0.522107   0.317906   0.395187  
12084      0.047619   0.504813   0.262751   0.345613  
189080     0.190476   0.789015   0.485867   0.601399  
296007     0.190476   0.606952   0.657955   0.631425  
241004     0.095238   0.597576   0.581001   0.589172  
140055     0.095238   0.528750   0.400228   0.455599  
108073     0.047619   0.704396   0.453756   0.551955  
105025     0.380952   0.509258   0.436173   0.469891  
351093     0.333333   0.526624   0.650223   0.581933  
271008     0.380952   0.707427   0.566949   0.629446  
310007     0.333333   0.539646   0.613612   0.574257  
385028     0.095238   0.743263   0.613009   0.671881  
65019      0.047619   0.767421   0.561418   0.648452  
167062     0.380952   0.657676   0.404135   0.500635  
374020     0.047619   0.669132   0.540821   0.598173  
42078      0.380952   0.669261   0.502060   0.573727  
103041     0.047619   0.795386   0.298015   0.433578  
104022     0.047619   0.541753   0.424540   0.476037  
48055      0.142857   0.675394   0.415533   0.514514  
249087     0.047619   0.665916   0.408210   0.506148  
198023     0.047619   0.603630   0.557339   0.579561  
55067      0.047619   0.631579   0.771492   0.694560  
249061     0.095238   0.675218   0.477623   0.559487  
227040     0.047619   0.615990   0.432818   0.508409  
138078     0.428571   0.755718   0.594004   0.665173  
311081     0.333333   0.514884   0.361465   0.424745  
161062     0.047619   0.791568   0.525300   0.631514  
106025     0.095238   0.702150   0.542496   0.612084  
182053     0.095238   0.659133   0.633685   0.646158  
108070     0.047619   0.330636   0.195065   0.245370  
385039     0.238095   0.627193   0.495191   0.553430  
353013     0.190476   0.794357   0.473856   0.593608  
145053     0.095238   0.791024   0.736733   0.762914  
246016     0.047619   0.731989   0.630627   0.677538  
181018     0.047619   0.553753   0.481866   0.515315  
12074      0.047619   0.814481   0.369554   0.508422  
368016     0.142857   0.744811   0.476685   0.581320  
370036     0.047619   0.517007   0.718429   0.601298  
113009     0.190476   0.622390   0.671296   0.645919  
225017     0.380952   0.722562   0.375785   0.494430  
365073     0.047619   0.538655   0.668736   0.596688  
59078      0.095238   0.738979   0.561513   0.638137  
189011     0.047619   0.626057   0.398176   0.486766  
106020     0.380952   0.558014   0.429209   0.485209  
301007     0.047619   0.654458   0.571250   0.610030  
210088     0.238095   0.571485   0.369110   0.448527  
69020      0.095238   0.727369   0.493243   0.587852  
24004      0.190476   0.694029   0.501633   0.582351  
15088      0.523810   0.213276   0.382022   0.273732  
45077      0.142857   0.576863   0.474783   0.520869  
271031     0.523810   0.570370   0.917065   0.703314  
41025      0.428571   0.647609   0.610326   0.628415  
207056     0.190476   0.808230   0.507042   0.623151  
156079     0.047619   0.698358   0.545330   0.612430  
314016     0.047619   0.645017   0.402120   0.495397  
27059      0.047619   0.655286   0.721873   0.686970  
21077      0.333333   0.598691   0.512991   0.552538  
22090      0.047619   0.574578   0.628148   0.600170  
187083     0.095238   0.652511   0.322638   0.431780  
376020     0.047619   0.639877   0.472406   0.543534  
[Results Per Threshold]
Threshold  Recall     Precision  F1-Score  
0.047619   0.678416   0.445100   0.537532  
0.095238   0.648259   0.452544   0.533003  
0.142857   0.614037   0.463499   0.528253  
0.190476   0.580468   0.475256   0.522619  
0.238095   0.540214   0.486520   0.511963  
0.285714   0.502378   0.501152   0.501764  
0.333333   0.464621   0.513354   0.487773  
0.380952   0.425985   0.528376   0.471688  
0.428571   0.388612   0.542545   0.452855  
0.476190   0.346142   0.554031   0.426081  
0.523810   0.200921   0.580835   0.298563  
0.571429   0.175096   0.585277   0.269551  
0.619048   0.154014   0.595136   0.244702  
0.666667   0.132490   0.602139   0.217191  
0.714286   0.109798   0.611026   0.186146  
0.761905   0.090912   0.621634   0.158625  
0.809524   0.070258   0.621927   0.126254  
0.857143   0.053622   0.619738   0.098704  
0.904762   0.042122   0.627923   0.078948  
0.952381   0.033242   0.629905   0.063151  
