Current working directory: /data/yoojinoh/CV/data
Data size: 200
Best F1         : 0.561807  
Best F1 (Single): 0.529511  
AVG F1          : 0.545659  
[Overall Results]
Recall     Precision  F1-Score   Area PR   
0.671497   0.482921   0.561807   0.475108  
[Overall Results using Single Threshold]
Threshold  Recall     Precision  F1-Score  
0.190476   0.586539   0.482591   0.529511  
[Results Per Image]
ID         Threshold  Recall     Precision  F1-Score  
145086     0.238095   0.718390   0.909031   0.802544  
126039     0.047619   0.694347   0.514727   0.591195  
100098     0.333333   0.752015   0.763778   0.757851  
147091     0.238095   0.861897   0.769468   0.813064  
35010      0.190476   0.804932   0.778910   0.791707  
23025      0.190476   0.675215   0.644531   0.659516  
65074      0.095238   0.837237   0.577133   0.683269  
8049       0.190476   0.688353   0.808820   0.743740  
183055     0.142857   0.664676   0.431061   0.522965  
176039     0.380952   0.645801   0.537428   0.586651  
130026     0.428571   0.409683   0.405990   0.407828  
374067     0.142857   0.503471   0.525274   0.514142  
78019      0.142857   0.791504   0.497678   0.611107  
135069     0.190476   0.786477   0.890045   0.835062  
126007     0.095238   0.647294   0.444571   0.527113  
157055     0.238095   0.687981   0.571822   0.624546  
100080     0.047619   0.757054   0.334939   0.464411  
76053      0.142857   0.430385   0.310786   0.360936  
163014     0.095238   0.734760   0.485918   0.584975  
239007     0.142857   0.714809   0.671798   0.692636  
61086      0.476190   0.480051   0.381208   0.424957  
2092       0.142857   0.579815   0.623544   0.600885  
208001     0.047619   0.811784   0.429214   0.561530  
145014     0.333333   0.561125   0.439292   0.492790  
368078     0.190476   0.729827   0.463204   0.566723  
135037     0.047619   0.779524   0.239304   0.366191  
55075      0.095238   0.723966   0.496409   0.588972  
296059     0.142857   0.766713   0.826237   0.795363  
164074     0.047619   0.816745   0.114148   0.200302  
153093     0.142857   0.772803   0.659321   0.711566  
196073     0.095238   0.701499   0.497749   0.582316  
23084      0.333333   0.619880   0.518874   0.564897  
78004      0.190476   0.709998   0.576214   0.636148  
163085     0.095238   0.632852   0.208851   0.314058  
231015     0.285714   0.635271   0.691745   0.662306  
118035     0.142857   0.795181   0.670998   0.727831  
361084     0.142857   0.749634   0.765688   0.757576  
105053     0.095238   0.607441   0.481214   0.537010  
80099      0.047619   0.536381   0.263509   0.353401  
92059      0.190476   0.419195   0.471256   0.443703  
216081     0.142857   0.716080   0.741643   0.728638  
62096      0.428571   0.728200   0.705439   0.716639  
76002      0.142857   0.781715   0.708545   0.743333  
134008     0.190476   0.494918   0.226585   0.310854  
55073      0.142857   0.599648   0.456347   0.518274  
35058      0.047619   0.613177   0.277258   0.381854  
65132      0.142857   0.547087   0.269030   0.360690  
65033      0.142857   0.649920   0.610572   0.629632  
388016     0.142857   0.604857   0.797013   0.687766  
169012     0.380952   0.277496   0.292303   0.284707  
302003     0.142857   0.808586   0.784041   0.796125  
253027     0.095238   0.855227   0.676323   0.755326  
159091     0.333333   0.687205   0.575300   0.626293  
181091     0.285714   0.590322   0.636478   0.612532  
157036     0.285714   0.777407   0.411560   0.538198  
304034     0.285714   0.519000   0.258136   0.344785  
271035     0.142857   0.758136   0.462319   0.574377  
66053      0.142857   0.545553   0.612751   0.577203  
188063     0.095238   0.698903   0.439573   0.539702  
232038     0.095238   0.766073   0.583300   0.662309  
299091     0.095238   0.411940   0.383599   0.397265  
166081     0.095238   0.622890   0.635117   0.628944  
311068     0.333333   0.413113   0.614162   0.493964  
253055     0.095238   0.604953   0.613313   0.609104  
227046     0.142857   0.533110   0.550534   0.541682  
46076      0.142857   0.572849   0.783340   0.661759  
163062     0.142857   0.537452   0.359179   0.430593  
148089     0.238095   0.578804   0.430573   0.493804  
159045     0.142857   0.728644   0.537581   0.618698  
109053     0.095238   0.617655   0.356311   0.451920  
37073      0.095238   0.676884   0.796012   0.731630  
300091     0.380952   0.582476   0.771493   0.663791  
112082     0.238095   0.496986   0.497521   0.497253  
160068     0.142857   0.619001   0.253107   0.359299  
20008      0.047619   0.752460   0.292380   0.421125  
268002     0.190476   0.592392   0.439711   0.504759  
33039      0.285714   0.665017   0.354352   0.462345  
236017     0.142857   0.547805   0.333502   0.414598  
16077      0.238095   0.589053   0.540680   0.563831  
247085     0.190476   0.479295   0.477431   0.478361  
42012      0.142857   0.522905   0.409348   0.459210  
42049      0.285714   0.839018   0.938250   0.885864  
122048     0.333333   0.649476   0.494549   0.561522  
106024     0.142857   0.528185   0.658161   0.586053  
209070     0.190476   0.655176   0.639000   0.646987  
253036     0.142857   0.821673   0.980463   0.894073  
87046      0.142857   0.738895   0.443909   0.554618  
238011     0.095238   0.861411   0.934915   0.896659  
118020     0.142857   0.651210   0.491080   0.559921  
54082      0.047619   0.771412   0.410659   0.535987  
41033      0.142857   0.684525   0.484305   0.567266  
246053     0.047619   0.687663   0.524782   0.595282  
108041     0.095238   0.787761   0.237087   0.364479  
365025     0.095238   0.695185   0.511661   0.589469  
293029     0.142857   0.585750   0.420125   0.489302  
372047     0.142857   0.848980   0.538859   0.659270  
143090     0.095238   0.746121   0.622191   0.678544  
198054     0.095238   0.890933   0.281005   0.427253  
202012     0.190476   0.759974   0.534856   0.627846  
239096     0.095238   0.680665   0.404513   0.507452  
117054     0.333333   0.589431   0.664538   0.624735  
260081     0.142857   0.642390   0.252437   0.362446  
147021     0.238095   0.441822   0.508975   0.473027  
65010      0.142857   0.655006   0.559112   0.603272  
376001     0.190476   0.715326   0.688542   0.701679  
285079     0.190476   0.660599   0.626706   0.643206  
66039      0.190476   0.492647   0.454813   0.472975  
22093      0.190476   0.642268   0.726707   0.681883  
147062     0.285714   0.677338   0.446564   0.538258  
216066     0.190476   0.594792   0.411614   0.486533  
90076      0.238095   0.696433   0.702624   0.699515  
134035     0.380952   0.523090   0.401674   0.454411  
54005      0.190476   0.775404   0.459710   0.577212  
220075     0.190476   0.590932   0.502838   0.543337  
94079      0.285714   0.478844   0.386620   0.427818  
45096      0.095238   0.659203   0.639640   0.649274  
41004      0.095238   0.680710   0.599547   0.637556  
113016     0.238095   0.757618   0.819555   0.787371  
159008     0.238095   0.627451   0.524487   0.571367  
12003      0.190476   0.716154   0.619554   0.664361  
295087     0.142857   0.693455   0.521353   0.595213  
101087     0.095238   0.797570   0.632340   0.705409  
22013      0.380952   0.487038   0.395576   0.436568  
187039     0.142857   0.738062   0.246863   0.369978  
15004      0.190476   0.713594   0.449920   0.551880  
28096      0.095238   0.643438   0.252525   0.362703  
242078     0.190476   0.806492   0.437464   0.567241  
28075      0.142857   0.742212   0.654177   0.695419  
130034     0.190476   0.369700   0.380151   0.374852  
89072      0.190476   0.589288   0.345627   0.435705  
109034     0.190476   0.518751   0.255444   0.342321  
254033     0.333333   0.419996   0.307873   0.355299  
304074     0.238095   0.670369   0.494747   0.569322  
69040      0.095238   0.713945   0.243813   0.363493  
71046      0.142857   0.639385   0.615581   0.627257  
187029     0.238095   0.541784   0.553886   0.547768  
229036     0.333333   0.656548   0.526990   0.584678  
43070      0.190476   0.542484   0.374854   0.443353  
189003     0.285714   0.660826   0.420375   0.513863  
178054     0.333333   0.480788   0.460305   0.470324  
159029     0.190476   0.599030   0.310319   0.408843  
12084      0.095238   0.802497   0.277363   0.412244  
189080     0.238095   0.722581   0.793192   0.756242  
296007     0.095238   0.574303   0.534242   0.553549  
241004     0.095238   0.785308   0.655033   0.714279  
140055     0.095238   0.719826   0.337253   0.459310  
108073     0.095238   0.536417   0.270366   0.359524  
105025     0.190476   0.582676   0.406266   0.478737  
351093     0.238095   0.658982   0.602159   0.629290  
271008     0.285714   0.680452   0.646898   0.663251  
310007     0.190476   0.711535   0.582929   0.640843  
385028     0.142857   0.705949   0.731445   0.718471  
65019      0.333333   0.654712   0.669592   0.662068  
167062     0.380952   0.885477   0.938182   0.911068  
374020     0.095238   0.514459   0.528561   0.521415  
42078      0.190476   0.717315   0.621705   0.666097  
103041     0.142857   0.569767   0.328707   0.416899  
104022     0.095238   0.672510   0.509531   0.579785  
48055      0.190476   0.578638   0.350525   0.436580  
249087     0.238095   0.557391   0.539403   0.548250  
198023     0.047619   0.918088   0.144325   0.249438  
55067      0.047619   0.881518   0.831399   0.855725  
249061     0.142857   0.634996   0.421573   0.506729  
227040     0.142857   0.632196   0.573645   0.601499  
138078     0.428571   0.650586   0.629978   0.640116  
311081     0.380952   0.446175   0.519069   0.479870  
161062     0.095238   0.645487   0.683015   0.663721  
106025     0.142857   0.399366   0.856634   0.544761  
182053     0.142857   0.676525   0.539175   0.600091  
108070     0.142857   0.390772   0.151929   0.218793  
385039     0.190476   0.648704   0.439391   0.523915  
353013     0.238095   0.732752   0.514396   0.604459  
145053     0.190476   0.808629   0.602774   0.690689  
246016     0.095238   0.759891   0.560282   0.644996  
181018     0.238095   0.523054   0.719150   0.605624  
12074      0.380952   0.703825   0.604713   0.650516  
368016     0.142857   0.782886   0.595992   0.676773  
370036     0.095238   0.686193   0.677094   0.681613  
113009     0.142857   0.646328   0.754701   0.696323  
225017     0.380952   0.613918   0.454706   0.522452  
365073     0.190476   0.741963   0.559461   0.637916  
59078      0.238095   0.568677   0.590571   0.579418  
189011     0.142857   0.520255   0.524161   0.522201  
106020     0.142857   0.701376   0.242664   0.360575  
301007     0.142857   0.653055   0.582516   0.615772  
210088     0.142857   0.718404   0.396790   0.511222  
69020      0.142857   0.641538   0.633323   0.637404  
24004      0.190476   0.690243   0.502509   0.581602  
15088      0.238095   0.649969   0.312864   0.422404  
45077      0.190476   0.436250   0.379220   0.405741  
271031     0.380952   0.634680   0.946188   0.759743  
41025      0.238095   0.701620   0.589899   0.640928  
207056     0.142857   0.699534   0.706407   0.702954  
156079     0.142857   0.536594   0.511278   0.523630  
314016     0.190476   0.700396   0.726771   0.713340  
27059      0.095238   0.830280   0.600101   0.696670  
21077      0.142857   0.807953   0.490722   0.610592  
22090      0.047619   0.777153   0.555543   0.647922  
187083     0.142857   0.618824   0.422432   0.502107  
376020     0.142857   0.712183   0.409548   0.520041  
[Results Per Threshold]
Threshold  Recall     Precision  F1-Score  
0.047619   0.895436   0.258622   0.401331  
0.095238   0.786494   0.352787   0.487088  
0.142857   0.674563   0.430938   0.525906  
0.190476   0.586539   0.482591   0.529511  
0.238095   0.506729   0.526743   0.516542  
0.285714   0.443536   0.559306   0.494738  
0.333333   0.387980   0.584909   0.466514  
0.380952   0.334087   0.608997   0.431473  
0.428571   0.289051   0.630757   0.396433  
0.476190   0.237881   0.656320   0.349197  
0.523810   0.180875   0.677940   0.285562  
0.571429   0.145767   0.696213   0.241062  
